,,,,,
,H set,,Number of known algs :,,0/72
,,,"[U] F R' F' r U R U' r2 F2 r U L' U L
F U R U' R' F' L' U' L U r U' r' F
F U R U' R' S U R' U' R U R U' f' / B'",L' R U R' U R U' R' U2 L U' R U2 R',FALSE
,,,"[U'] R' U' F' U F R U R U R' U' R' F R F'
[U'] F' r U R' U' r' F R2 U2 R' U' R U' R'
R U R' U' R' F R U R U' R' F' R U R' U R U2 R' ",[U2] L R' U' R U' R' U R U2 L' U R' U2 R,FALSE
,,,[U] R U2 R' U' R U R' U' F' R U R' U' R' F R2 U' R',"Same
[U'] R' U2 R U2 F U' R' U2 R U F' U R' U R
[U] R U2 R' U' R U R' U' R U R' U' R U2 L' U R' U' r / L",FALSE
,,,"[U2] R' F' R U R' U' R' F D' R U' R' D R U2 R
R' U2 R2 U R2' U R U2 R' F R U R U' R' F'
[U2] R U R' U R U' R' U R U' R2' F' R U R U' R' F R U' R'",[U] R' U2 R U R' U' R U R' U' R U R' U2 L U' R U L' / r',FALSE
,,,"[U2] F U' R U2 R' U2 R U' R' U' R U R' U F'
R' B' R2 U R2 U R2 U2 R2 U B R
[U] R U' R' D R' U' R U2 R' U' R (U' D') R U R'",Same as the 1st one,FALSE
,,,"[U2] R F R2' U' R2 U' R2' U2 R2 U' F' R'
[U2] R' F R U R' U' F' R U' R' U R' F R F' U R
F R' F' R2 U2 R' U R U2 R' U R U' R2' F R F'","[U] R' U R D' R U R' U2 R U R' (U D) R' U' R
[U] R' U R U' y R U R' U2 R U R' U2 y' R' U' R
R U2 R2 U' R2 U' R' U' L' U R' U' L U' R",FALSE
,,,"R' U2 R U R' U R3 D R' U R D' R' U' R'
R' U2 R U R' U R' D R' U R D' R' U' R'
[U] R U2 R2' F U' R2 U' R2 U F' U R","R' U2 R U R' U (R r) U' r' y' r U R U' r'
L' U R U' L U' R' U2 L' U R U' R' L / r",FALSE
,,,"[U] R U2 R' U' R U R' U2 R' F R2 U' R' U' R U R' F'
[U2] R U2 R' U' R U' R D' R U' R' D R U R",Same as the last one,FALSE
,,,[U] R' U2 R U2 R2 F' R U R U' R' F U R,"[U] R' U2 R L U2 R' U R U2 L' U R' U R
Same",FALSE
,,,"[U'] F' R U2 R' U2 R' F R U R U R' U' R U' R'
f R2 S' U' R2' U' R2 U R2' F'","Same as the 1st one
[U] R U2 R' L' U2 R U' R' U2 L U' R U' R'",FALSE
