,,,,,,
,L set,,Number of known algs :,,0/72,
,,,"[U] R' U' R' F R F' U R2 U2 R' U2 R' F R F'
[U] S R' F U R2 U' F' U R2 U' R S'
[U'] R' U2 R F U' R' U2 R U F' U' R' U R",[U'] L U' R U R' L' U2 R U' R' U' R U' R',FALSE,
,,,"[U2] R' U2 R (U2 D') R U' R U R U' R2 D
[U] L U r' D' F r U r' F' D r U2 L'
[U] R U R2' U R' D U' R' U R D' R2 U2 R'","[U2] R' U2 R (U' D') U' R U' R U R U' R2 D
[U] z U R U' F' R U R U' R' F U R2 U' z'
R' U' R U z U' R2 U R U' R z' R' U R U' r / L",FALSE,
,,,"[U'] R' U2 R U R' U' F' R U R' U' R' F R2 U R' U R
[U'] R' F R U R' U' F' R' F R F' R' F R F' U R
[U'] R' U' R U' R' U R U' R' U R U' R2' D' R U2 R' D R2",[U] R' U' L U' R U L' U R' U' R U2 R' U2 R,FALSE,
,,,"[U'] R U R' U R U' R' U' r' F R F' M'
[U'] R U R' U R U2 M' U R' U' r' F R F'",[U'] R U R' U R U' R' U' L' U R U' R' L / r ,FALSE,
,,,"S U2 R' U2 R U2 F R f'
R U R D R' U2 R D' R' U' R' U R U R'","Same as the 1st one
[U'] M' U2 y R' U2 R U2 F R f'",FALSE,
,,,"[U'] R' U2 R2 U R' U' R' U2 F R U R U' R' F'
[U] M U' M' F R' F' R U R U' r' U M'
[U'] R' U' R' D' R U' R' U' D R' U' R2 U R U R2'",[U'] L U' R U L' U R U2 R U' R U R' U2 R2,FALSE,
,L4: Opposite/Adjacent,,"[U] F' r U R' U' r' F R
[U2] R2' D' R U' R' D R U R 
l' U R D' R' U' R D","[U'] x' U' R U L' U' R' U r
[U] F' r U R' U' z U' R D
x R' U R D' R' U' R D
[U2] x' D R U R' D' R U' R'
[U2] F U R' U' R F' R' U R",FALSE,
,,,"[U2] R2' D' r U2 (r' R) U R' D R U R
R2' U' R U R U' R (D' U) R U' R' D
[U] R U2 R' U2 R' U' F R f' R' U R S",R2 U' R U R U' R U D' R U' R' D,FALSE,
,,,"[U'] R' D R' U R D' R' U R2 U' R2' U' R2
[U'] R' U R U' R' U R U R' U' R2 D R' U R D' R'
[U'] R D' R2' U R U' R' U R U R' U' R2 D R'",[U'] R U R' U2 L U' R U' R' U R U2 R' L',FALSE,
,,,[U] F' R U2 R' U2 R' F R U R U' R',"R' U R U2 R' U R y R U' R' U2 R U' R'
Same",FALSE,
,,,[U2] F R U' R' U' R U2 R' U' F',"Same
[U2] R' U' R F U' R' U2 R U F'",FALSE,
,,,"[U2] R' F R U R U' R' F' U R U R' U R U' R'
r' R' F R F' M' U' R U' R' U R
[U2] r’ D’ F r U’ r’ F’ r U’ r’ F D r",L' R' U R U' R' L U' R U' R' U R,FALSE,
