,,,,,
,Pi set,,Number of known algs :,,0/72
,,,"[U'] F U R U2 R' U R U R' F' R U2 R' U' R U' R'
[U'] R2 D R' U R D' R2' U R U2 R2' U' R U' R' U2 R
[U] R U2 R2 U' R2 U' R D' r U2 r' D R2","Same as the 1st one
R U y R U2 R' U R U R' F' R U2 R' U' R U' R'",FALSE
,,,"R2 U R' U' R' U2 R' U2 R U R' D R' U R D'
[U] R2' D' r U2 r' D R2 U R2' D' R U R' D R2 
R2' U' R U R U2 R U2 R' U' R D' R U' R' D","[U2] R' U2 R U R' U2 y' R U2 R' U' B R U' R'
R2 U' R U R U2 R U2 R' U' R D' R U' R' D
R2 U R' U' R' U2 R' U2 R U R' D R' U R u'",FALSE
,,,"r U' r' U' r U r' U' (l R) U' R' U l'
r U' r' U' r U r' F R' F' R2 U' R'","[U'] R' U' R U' R' U2 R U' R' U L U' R U L' / r'
r U' r' U' r U r' U' x' R2 U' R' U R'",FALSE
,,," r' U r U r' U' r U R2 F R F' R
[U2] R' F R U R' F' R U (r' L') U L U' r",R' U L U' R U L' U R' U' R U' R' U2 R,FALSE
,,,"[U2] r' F R F' r U' R2' U' R2 U' R' U R' U R
R' U' R U R2 F' R U R U' R' F U' R U R' U R
r U R' U R U2 r' U' L' U2 L U2 r U' r' F","[U2] L' U R U' L U' R2 U' R2 U' R' U R' U R
[U2] R U2 R' U' R y R' U' R F' R' U' R U R' U R
R U2 R2 U' R2 U' R' U R' U2 L U' R U L'",FALSE
,,,[U2] R' F' r U' r' F2 R U R U2 R' U2 R' F R F' ,"r' U' R U' R' U2 r U' R U2 R' U2 R' F R F'
[U'] L R' U' R' U L' R2 U' R2 U' R' U R2 U' R'",FALSE
,,,"R U R' U R2 D R' U' R D' R2 U R U2 R'
R U R' U2 R' D' R U' R' D R2 U' R' U R U2 R'
R U2 R D' R U' R' D R' U' R2 U2 R","Same as the last one
[U2] F U R U' R' U R' U' R U R U' R' F' U' R' U R",FALSE
,,,R' U' R U' R2' D' R U R' D R2 U' R' U2 R,"R' U' R U F R' U R U2 R' U R U2 R' U' R F'
R' U' R U' R2 D' R U R' D R2 U' R' U2 R",FALSE
,,,"[U2] R' U2 R' F' R U R U' R' F U R U' R' U2 R
[U'] R2 D R' U2 R D' R2 U' R2 D R' U' R D' R2",[U2] R U' R' U R U' R' U' R U2 L U' R' U L' / r',FALSE
,,,"[U2] R' U R U' R' U R U R' U2 r' F R F' r
[U] R2 D' R U2 R' D R2 U R2 D' R U R' D R2
L U2 r U r' U' r' F r F' U' r' F r U2 L'",[U2] R' U R U' R' U R U R' U2 L' U R U' L / r,FALSE
,Pi4: Diagonals,,[U] F U R U' R' U R U2 R' U' R U R' F' ,Same,FALSE
,,,"R2' F R U R U' R' F' R U' R' U' R U R' U R
[U'] R U R' U R U2 R' F U R U2 R' U R U R' F'
[U] R U2 R2' U' R U' R' U2 F R U R U' R' F'","R2 F R U R U' R' F' R U' R' U' R U R' U R
[U] R U2 R2 U' R U' R' U2 F R U R U' R' F'",FALSE
,,,"[U'] L' U' L U' r' F2 r2 U R' U' r' F R F'
[U'] F R U' R' U' R U R' S U R U' R' f'",R U2 R' U L' U2 R U R' U' R U' R' L / r,FALSE
,,,"[U'] R U R' U R U2 R2 U' R' F R U R U' R' F' R
[U'] R U R' U R U2 R' l' U' L U R U' r' F
[U] F U R U2 R' U R U R' F' R U R' U R U2 R'",R' U2 R U' L U2 R' U' R U R' U R L' / r',FALSE
